id;nom;prenom;adresse;telephone;email
1;candide rire;aussitôt que instituer;tant que sans que devant;+33 362098032;Elodie_Lefebvre24@gmail.com
2;personnel professionnel badaboum;également;à raison de simple;+33 619827347;Yves.Giraud2@gmail.com
3;après que dorénavant caractériser;sauf cyan;ronron chez personnel;0385519148;Guy.Garnier@gmail.com
4;aussitôt que;du fait que vu que turquoise;désormais magnifique;0171467750;Fleur.Giraud@hotmail.fr
5;dans après à peu près;athlète ça pschitt;membre de l’équipe;+33 500507154;Armel.Marie@gmail.com
6;spécialiste;tsoin-tsoin;insipide diablement au-dessous de;+33 423255121;Flavien_Dupont43@hotmail.fr
7;marier arrière chez;en plus de insuffisamment relire;quasiment;+33 126094480;Leopold92@yahoo.fr
8;si bien que;approximativement trouver;parce que;0246890431;Clovis62@gmail.com
9;membre du personnel;trop incalculable;pin-pon pressentir;+33 381518655;Pascale.Legall@hotmail.fr
10;miam au cas où;exciter diététiste boum;toutefois cuicui;+33 741213240;Lambert.Dumont@yahoo.fr
